year,company,trips,first_date,last_date,days
2014,Uber,4534327,2014-04-01,2014-09-30,183
2015,Uber,36495610,2015-01-01,2015-12-31,365
2016,Uber,46080442,2016-01-01,2016-12-31,366
2017,Uber,39948650,2017-01-01,2017-12-31,365
2018,Uber,52237628,2018-01-01,2018-12-31,365
2019,Uber,169384652,2019-01-01,2019-12-31,365
2020,Uber,103184679,2020-01-01,2020-12-31,366
2021,Uber,126129064,2021-01-01,2021-12-31,365
2022,Uber,153414518,2022-01-01,2022-12-31,365
2023,Uber,166654011,2023-01-01,2023-12-31,365
2024,Uber,179125798,2024-01-01,2024-12-31,366
2025,Uber,175989546,2025-01-01,2025-12-31,365
2026,Uber,45368767,2026-01-01,2026-03-31,90
